HYDRO_PROJECTS,hydro_efficiency,hydraulic_location
ANGOSTURA_U1,0.43,Gen_ANGOSTURA
ANGOSTURA_U2,0.43,Gen_ANGOSTURA
ANGOSTURA_U3,0.43,Gen_ANGOSTURA
ANTUCO_U1,1.6,Gen_POLCURA
ANTUCO_U2,1.6,Gen_POLCURA
CANUTILLAR_U1,2.004152967,Gen_CANUTILLAR
CANUTILLAR_U2,2.004152967,Gen_CANUTILLAR
CIPRESES_U1,2.66391162,Gen_CIPRESES
CIPRESES_U2,2.66391162,Gen_CIPRESES
CIPRESES_U3,2.66391162,Gen_CIPRESES
COLBUN_U1,1.491633393,Gen_COLBUN
COLBUN_U2,1.491633393,Gen_COLBUN
CURILLINQUE,1.01,Gen_CURILLINQUE
EL_TORO_U1,4.58044,Gen_ELTORO
EL_TORO_U2,4.58044,Gen_ELTORO
EL_TORO_U3,4.58044,Gen_ELTORO
EL_TORO_U4,4.58044,Gen_ELTORO
ISLA,0.81,Gen_ISLA
LA_MINA,0.57,Gen_LA_MINA
LAJA_I,0.137,Gen_LAJA_I
LOMA_ALTA,0.45,Gen_LOMAALTA
MACHICURA_U1,0.33,Gen_MACHICURA
MACHICURA_U2,0.33,Gen_MACHICURA
PANGUE_U1,0.6,Gen_PANGUE
PANGUE_U2,0.6,Gen_PANGUE
PEHUENCHE_U1,1.761597694,Gen_PEHUENCHE
PEHUENCHE_U2,1.761597694,Gen_PEHUENCHE
QUILLECO,0.55,Gen_QUILLECO
RALCO_U1,1.65671,Gen_RALCO
RALCO_U2,1.65671,Gen_RALCO
RAPEL_U1,0.637662844,Gen_RAPEL
RAPEL_U2,0.637662844,Gen_RAPEL
RAPEL_U3,0.637662844,Gen_RAPEL
RAPEL_U4,0.637662844,Gen_RAPEL
RAPEL_U5,0.637662844,Gen_RAPEL
RUCUE,1.28,Gen_RUCUE
SAN_IGNACIO,0.19,Gen_SANIGNACIO
