GENERATION_PROJECT,csp_sf_tes_efficiency,csp_tes_efficiency,csp_tes_pb_efficiency,csp_sf_tes_pb_efficiency,csp_pb_efficiency
CERRO_DOMINADOR_CS,.,0.99,.,0.99,0.41
CSP_Antofagasta_954_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_1102_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_865_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_912_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_1152_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_1172_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_311_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_438_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_355_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_375_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_407_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_419_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_594_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_585_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_708_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_700_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_698_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_672_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_176_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_192_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_131_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1686_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1712_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1664_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_723_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1536_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_96_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_64_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_72_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_86_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_90_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_94_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_80_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_429_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1538_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_1425_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1503_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1511_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1531_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_169_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_509_13h,0.98,0.98,1,1,0.41
CSP_Antofagasta_693_13h,0.98,0.98,1,1,0.41
CSP_Atacama_1871_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_336_13h,0.98,0.98,1,1,0.41
CSP_Coquimbo_1899_13h,0.98,0.98,1,1,0.41
CSP_AricayParinacota_76_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_324_13h,0.98,0.98,1,1,0.41
CSP_Tarapaca_332_13h,0.98,0.98,1,1,0.41
