fuel,co2_intensity,upstream_co2_intensity
Gas_Enap_A,0,0
Carbon_Petropower,0.85,0
Biogas_LomaLosColorados,0,0
Otros_Noracid,0,0
Biogas_SantaMarta,0,0
Geo01_Chuquicamata_PELP,0,0
Geo01_Mulchen_PELP,0,0
Geo01_Charrua_PELP,0,0
Geo01_Ancoa_PELP,0,0
Biomasa_Valdivia_PELP,0.003809524,0
Biomasa_Mulchen_PELP,0.003809524,0
Geo01_PAlmonte_PELP,0,0
Geo01_Parinacota_PELP,0,0
Biomasa_Concepcion_PELP,0.003809524,0
Geo02_Parinacota_PELP,0,0
Geo01_Cautin_PELP,0,0
Geo01_Candelaria_PELP,0,0
Biomasa_Ancoa_PELP,0.003809524,0
Biomasa_Charrua_PELP,0.003809524,0
Biomasa_Cautin_PELP,0.003809524,0
Geo01_Andes_PELP,0,0
Geo02_Andes_PELP,0,0
Biomasa_Ancoa500_extension_PELP,0.003809524,0
Biomasa_AltoJahuel500_extension_PELP,0.003809524,0
Biomasa_LosChangos220_extension_PELP,0.003809524,0
Gas_CCS_Concepcion500_FUEL,0,0
Gas_CCS_Cumbre500_FUEL,0,0
Gas_CCS_Kimal220_FUEL,0,0
Gas_CCS_Kimal500_FUEL,0,0
Gas_CCS_LosChangos500_FUEL,0,0
Gas_CCS_Mulchen500_FUEL,0,0
Gas_CCS_NuevaCardones500_FUEL,0,0
Gas_CCS_NuevaCharrua500_FUEL,0,0
Gas_CCS_NuevaMaitencillo500_FUEL,0,0
Gas_CCS_NuevaZaldivar220_FUEL,0,0
Gas_CCS_Parinas500_FUEL,0,0
