TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed
AltoJahuel500_Ancoa500,AltoJahuel500,Ancoa500,134.06,0.96,2900,1
Ancoa500_NuevaCharrua500,Ancoa500,NuevaCharrua500,123.83,0.96,3000,1
Candelaria500_AltoJahuel500,Candelaria500,AltoJahuel500,25.47,0.96,680,1
Concepcion500_NuevaCharrua500,Concepcion500,NuevaCharrua500,39.84,0.96,260,1
Cumbre500_NuevaCardones500,Cumbre500,NuevaCardones500,57,0.96,1500,1
Kimal220_NuevaZaldivar220,Kimal220,NuevaZaldivar220,57.71,0.96,815,1
Kimal500_AltoJahuel500,Kimal500,AltoJahuel500,625.6,0.96,2000,1
Kimal500_Kimal220,Kimal500,Kimal220,28.18666667,0.96,1500,1
Kimal500_LosChangos500,Kimal500,LosChangos500,38.89,0.96,1590,1
Lagunas220_Kimal220,Lagunas220,Kimal220,44.71,0.96,789,1
LosChangos220_NuevaZaldivar220,LosChangos220,NuevaZaldivar220,51.43,0.96,525,1
LosChangos500_LosChangos220,LosChangos500,LosChangos220,28.18666667,0.96,1500,1
LosChangos500_Parinas500,LosChangos500,Parinas500,61.72,0.96,1500,1
NuevaCardones500_NuevaMaitencillo500,NuevaCardones500,NuevaMaitencillo500,44.56,0.96,2360,1
NuevaCharrua500_Mulchen500,NuevaCharrua500,Mulchen500,36.92,0.96,1540,1
NuevaMaitencillo500_NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPandeAzucar500,69.39,0.96,2500,1
NuevaPandeAzucar500_Polpaico500,NuevaPandeAzucar500,Polpaico500,133.61,0.96,2280,1
NuevaPozoAlmonte220_Lagunas220,NuevaPozoAlmonte220,Lagunas220,17.95,0.96,662,1
NuevaPozoAlmonte220_Parinacota220,NuevaPozoAlmonte220,Parinacota220,53.22,0.96,226,1
NuevaPuertoMontt500_NuevaAncud500,NuevaPuertoMontt500,NuevaAncud500,51.5,0.96,660,1
Parinas500_Cumbre500,Parinas500,Cumbre500,55.67,0.96,1500,1
Parinas500_NuevaZaldivar220,Parinas500,NuevaZaldivar220,86,0.96,660,1
Pichirropulli500_NuevaPuertoMontt500,Pichirropulli500,NuevaPuertoMontt500,94.78,0.96,805,1
Polpaico500_AltoJahuel500,Polpaico500,AltoJahuel500,61.28,0.96,1880,1
Quillota500_Polpaico500,Quillota500,Polpaico500,26.77,0.96,1803,1
Rapel500_AltoJahuel500,Rapel500,AltoJahuel500,47.04,0.96,394,1
RioMalleco500_Mulchen500,RioMalleco500,Mulchen500,23.46,0.96,1290,1
RioMalleco500_Pichirropulli500,RioMalleco500,Pichirropulli500,162.94,0.96,1143,1
