GENERATION_PROJECT,build_year,gen_predetermined_cap
CERRO_DOMINADOR_CS,2050,110
CERRO_PABELLON_U1,2050,29.83
CERRO_PABELLON_U2,2050,18.39
CERRO_PABELLON_U3,2050,22
ENAP_ACONCAGUA,2050,27.31
ERSA_BIOBIO,2050,20.5
LOMA_LOS_COLORADOS_1,2050,2
LOMA_LOS_COLORADOS_2,2050,18.2
PAS_MEJILLONES,2050,26.5
SANTA_MARTA,2050,15.7
ANGOSTURA_U1,2050,140
ANGOSTURA_U2,2050,140
ANGOSTURA_U3,2050,47.8
ANTUCO_U1,2050,160
ANTUCO_U2,2050,160
CANUTILLAR_U1,2050,85
CANUTILLAR_U2,2050,85
CIPRESES_U1,2050,35
CIPRESES_U2,2050,35
CIPRESES_U3,2050,35
COLBUN_U1,2050,240
COLBUN_U2,2050,240
CURILLINQUE,2050,87
EL_TORO_U1,2050,110
EL_TORO_U2,2050,110
EL_TORO_U3,2050,110
EL_TORO_U4,2050,110
ISLA,2050,69
LA_MINA,2050,34
LAJA_I,2050,34.3
LOMA_ALTA,2050,39
MACHICURA_U1,2050,47.5
MACHICURA_U2,2050,47.5
PANGUE_U1,2050,225
PANGUE_U2,2050,225
PEHUENCHE_U1,2050,280
PEHUENCHE_U2,2050,280
QUILLECO,2050,70
RALCO_U1,2050,345
RALCO_U2,2050,345
RAPEL_U1,2050,75
RAPEL_U2,2050,75
RAPEL_U3,2050,75
RAPEL_U4,2050,75
RAPEL_U5,2050,75
RUCUE,2050,178.4
SAN_IGNACIO,2050,36
HidroB_GEN_NuevaCharrua500,2050,39.2
HidroC_GEN_NuevaCharrua500,2050,162.27
HidroB_GEN_AltoJahuel500,2050,1460.12
HidroC_GEN_AltoJahuel500,2050,125.03
HidroC_GEN_Rapel500,2050,3.4
HidroB_GEN_Mulchen500,2050,169.6
HidroC_GEN_Mulchen500,2050,67.263
HidroC_GEN_Lagunas220,2050,22.432
HidroB_GEN_Polpaico500,2050,211.07
HidroC_GEN_Polpaico500,2050,1.504
HidroC_GEN_NuevaPandeAzucar500,2050,28.2
HidroB_GEN_Ancoa500,2050,174.016
HidroC_GEN_Ancoa500,2050,20.48
HidroC_GEN_NuevaCardones500,2050,3
HidroB_GEN_Pichirropulli500,2050,202.4
HidroC_GEN_Pichirropulli500,2050,62.08
HidroC_GEN_NuevaMaitencillo500,2050,5.1
HidroB_GEN_Parinacota220,2050,10.14
HidroC_GEN_Parinacota220,2050,0.5
HidroC_GEN_NuevaAncud500,2050,13
HidroC_GEN_NuevaPuertoMontt500,2050,14.1
HidroC_GEN_RioMalleco500,2050,4.7
HidroC_GEN_Candelaria500,2050,5.95
Solar_base_AltoJahuel500,2050,420.663
Wind_base_AltoJahuel500,2050,0
Solar_base_Lagunas220,2050,317.8
Wind_base_Lagunas220,2050,0
Solar_base_Candelaria500,2050,0
Wind_base_Candelaria500,2050,0
Solar_base_NuevaCardones500,2050,361.8
Wind_base_NuevaCardones500,2050,0
Solar_base_Polpaico500,2050,353.1
Wind_base_Polpaico500,2050,0
Solar_base_Parinas500,2050,0
Wind_base_Parinas500,2050,0
Solar_base_Concepcion500,2050,12
Wind_base_Concepcion500,2050,0
Solar_base_Pichirropulli500,2050,0
Wind_base_Pichirropulli500,2050,145.7
Solar_base_Rapel500,2050,200.2
Wind_base_Rapel500,2050,110
Solar_base_Parinacota220,2050,101
Wind_base_Parinacota220,2050,0
Solar_base_NuevaAncud500,2050,9
Wind_base_NuevaAncud500,2050,65
Solar_base_NuevaPozoAlmonte220,2050,187
Wind_base_NuevaPozoAlmonte220,2050,0
Solar_base_RioMalleco500,2050,0
Wind_base_RioMalleco500,2050,0
Solar_base_NuevaPandeAzucar500,2050,192.34
Wind_base_NuevaPandeAzucar500,2050,80
Solar_base_Kimal500,2050,0
Wind_base_Kimal500,2050,0
Solar_base_NuevaCharrua500,2050,220.677
Wind_base_NuevaCharrua500,2050,331.3
Solar_base_Quillota500,2050,103
Wind_base_Quillota500,2050,0
Solar_base_NuevaMaitencillo500,2050,514.7
Wind_base_NuevaMaitencillo500,2050,165.3
Solar_base_Ancoa500,2050,146.88
Wind_base_Ancoa500,2050,0
Solar_base_Mulchen500,2050,19.6
Wind_base_Mulchen500,2050,534.4
Solar_base_NuevaPuertoMontt500,2050,0
Wind_base_NuevaPuertoMontt500,2050,152.4
Solar_base_Cumbre500,2050,879.1
Wind_base_Cumbre500,2050,1142
Solar_base_NuevaZaldivar220,2050,603.09
Wind_base_NuevaZaldivar220,2050,0
Solar_base_LosChangos220,2050,0
Wind_base_LosChangos220,2050,0
Solar_base_Kimal220,2050,1846.86
Wind_base_Kimal220,2050,430.1
Solar_base_LosChangos500,2050,196.9
Wind_base_LosChangos500,2050,340.9
